layoutstring,total penalty per letter,key position cost,finger repeats,disbalance of fingers,top to bottom or vice versa,handswitching in trigram,(rows²/dist)²,shortcut keys,handswitching after unbalancing,movement pattern,hand disbalance, manual penalty, neighboring unbalance, asymmetric bigrams, asymmetric similar keys, irregularity, regularity segments mean,regularity segments std,regularity words mean,regularity words std
"oeltc_ärish⇘-ßyudv_xpafbzq-kjögü_wn,.m",10.88765934931427,78.03722575946045,55.3458449,24.98130954666532,10.472862309664446,16.431244671521757,111.33295981191785,1.463892377922877,15.561124880972567,27.03240956798228,0.7385887501664883,18.413297638835655,10.579949773621937,0.8871955556303258,25.371639910043545,1.8094929176422725,1272.262502801,351.70466192851677,896.8112978008878,1101.3854804843556
"aihek_lnstm⇘-üvgäö_zrbdwjß-opfuy_xq,.c",10.668530460289057,78.02051154676002,59.80131702,28.743864884394412,9.758555845257296,8.901105485602795,111.49706897894448,1.0979192834421578,12.737800102124385,22.87012011370336,0.02203827805998378,20.06862779421257,10.79510390174482,0.8669129766709539,23.278782223733394,1.9797821767292407,1238.5375697371003,303.36476673851064,802.1157517754228,794.9494087642047
"hterk_cndua⇘-ßgoöq_wfsiüäj-pyxlz_mb,.v",10.651507437835637,58.44581364761221,55.10021672,22.792756496901088,9.283255511763443,28.009271281734836,100.21057568453537,1.0979192834421578,14.55361848919156,33.99175992096616,0.36468356426310466,16.198275886233453,13.288322786159956,0.8815077420188738,33.540373593156694,2.058163182931663,1367.6827561038353,396.4471283339401,876.3145928314286,1034.6901132798996
"cureo_gsnth⇘-üilöä_wbmdzjß-vyxaq_kf,.p",9.871392066502017,60.15430038643972,54.91164814,22.141897244093933,8.317764133844776,14.295820706851579,105.0827254822364,0.36597309448071924,13.997656124229998,30.86134548826488,0.7562111283719501,15.967560527828931,14.430758884030125,0.8647297171501218,17.761443352040274,1.3565557311530294,1116.2635797147157,279.509898755456,777.4180687351108,915.6199780935608
"hnrak_cgues⇘-öflzä_qdiüvjß-pmxoy_bt,.w",10.511818828559374,47.028024853996534,56.60736352,24.323792277237025,9.847270036774589,24.433549823710973,104.1798780268158,0.7319461889614385,11.753524763407905,36.90235671024586,1.5889283139321984,19.15522990518172,14.698289807602846,0.8732491432997274,30.980092938134046,1.600790221555792,1218.588889704855,307.0376414548245,882.8487881085063,1078.8165123943086
"uernc_dtish⇘-öolvq_ägamkzß-püxbj_yw,.f",10.433142914664272,49.18420666364956,52.54076332,23.196266409647276,7.755960741299125,24.95935541172547,99.72622492024526,0.7319461889614385,12.890942658816156,39.755959405456174,0.16067636543199512,18.24600704703099,14.162629527570035,0.8876147914217318,35.63323127946684,1.9931750332053901,1182.3347192757642,301.6451315606577,860.704608402024,862.0428484981896
"sntey_mhlua⇘-ßfpxö_wbriüäj-zkcoq_gd,.v",10.132830604747323,47.80987038919723,57.40531306,24.173023088703914,11.763977178843087,22.814883999831913,110.79955182813585,0.36597309448071924,14.873427093966276,25.24122130349032,0.14697142756348072,18.482836774732508,12.779841845736918,0.8942256230840759,20.965235386650654,2.3179851324146536,1337.8359767661382,403.9068950169716,866.023528328078,881.6259127967269
"haenm_wtsri⇘-ßkovz_qfplüxj-gäöcy_db,.u",9.657131635434235,50.0958722199272,55.24328468,28.188438222564894,8.369051630050631,24.46025673930731,103.67079916301337,1.0979192834421578,12.786167977918515,30.494975696739832,0.24032023127514662,17.452946967500434,13.395770810755154,0.8854517294348082,5.608453028090497,1.4353264627317026,1042.9231221895186,291.1756181657264,792.0121929331776,1313.2677344214228
"airnm_wtesh⇘-julvz_öpofkßq-üäxcy_bd,.g",9.753095018297634,46.45803221415566,52.52604984,24.028882826505843,8.399189548756492,21.434655379233114,106.12167680128526,0.7319461889614385,11.979592641756124,30.38303578554779,0.8839991867533199,16.249921121379302,12.177441611578105,0.8603431861157381,23.480240955517065,1.2220291735420592,1051.8748965366344,268.99632186585677,780.7084096409202,1042.0137387823345
"haerä_mnits⇘-ßoykö_vbudwüj-gzxlq_cf,.p",9.876358277668668,47.0137292864606,55.10770022,25.47319059153377,13.512785953406647,20.80985829223212,102.09222928440629,0.7319461889614385,11.683784520003485,32.54725474338664,0.7434757860535436,21.76367009974563,11.570242686062798,0.8753651443783671,15.558241090343833,1.9646662208918375,1289.9213261879408,372.8337949884153,815.5059542345156,1169.954760099804
"stolc_bfarh⇘-ökevü_jpimäzß-gxquy_wn,.d",10.700850126302734,57.321031487076134,58.25988988,28.044789380061037,9.574184371687403,16.293045692876273,108.83535125533669,0.7319461889614385,13.833262477720323,36.58624842213515,0.29046078687938504,20.17047829432733,12.633000319962333,0.8869310896568854,26.57368841474115,1.5880153683192777,1222.204968084283,316.19589918180037,868.7912390545414,907.2241966571133
"muaey_ctnrs⇘-ßhioj_wfplxzq-gküäö_db,.v",9.638924088760533,53.72272844048764,57.01280022,23.08303045176677,8.910057672787973,11.440627768193917,108.3574628633068,1.463892377922877,14.011535480053764,24.08886065657483,0.2440873749058385,19.562776868161766,11.867964776194084,0.8829461113033934,16.715014508885197,1.3949020522990745,1083.1825353437887,307.0037019334329,796.6786714919119,1200.194992795734
"tmnrl_ksoei⇘-ßdbzj_wgaäüxö-vhpcq_yf,.u",10.687444816262914,45.63454915470437,59.37630352,28.170705898066036,8.651140964117458,12.847177361754172,116.96351299048048,0.7319461889614385,14.250561175563758,35.869935327551936,0.9398841095665966,19.73151705329066,15.41589515854463,0.8866206840385713,29.933664094978965,1.7283114683470302,1271.6475017623545,333.38959491613025,876.1532379882093,890.130131163378
"rtldm_yieus⇘-jkngv_öäühfxß-zbpcq_ao,.w",10.311081960015606,52.26163809160402,56.8453909,26.522134201251365,8.013963180877093,9.642906995256196,113.85610813413132,1.0979192834421578,15.500196340303983,29.745911243888717,1.1151195251574453,20.288660504202973,11.890673734958083,0.8949541828901332,27.821575989679896,1.8607049274798078,1136.3779059314513,313.89151755741887,805.6292942562095,988.7984494405866
